Área;Quartos;Banheiros;Endereço;Vagas de Garagem;Condomínio;IPTU;Preço de Venda
100;3;2;Apartamento para Venda, Teresina / PI, bairro Macaúba, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 100,00 m², área útil 100,00 m²;1;400;None;250000;
62;2;1;Apartamento para Venda, Teresina / PI, bairro Piçarreira, 2 dormitórios, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 62 m²;1;500;None;250000;
None;3;1;Apartamento para Venda, bairro Morada do Sol, 3 dormitórios, 1 suíte, 1 banheiro, 2 vagas de garagem;2;None;None;200000;
74;3;2;Apartamento para Venda, Teresina / PI, bairro Primavera, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 74,00 m²;1;230;None;250000;
57;2;2;Apartamento para Venda, Luís Correia / PI, bairro Atalaia, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 57,50 m², área construída 57,50 m², área útil 57,50 m²;1;None;None;250000;
63;2;2;Apartamento para Venda, Teresina / PI, bairro Socopó, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 63,00 m²;1;None;None;197000;
77;3;1;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 2 suítes, 1 banheiro, 1 vaga de garagem, área total 82,74 m², área útil 77,43 m²;1;None;None;250000;
None;2;1;Apartamento para Venda, Teresina / PI, bairro Aeroporto, 2 dormitórios, 1 banheiro;None;None;None;170000;
60;2;2;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 60,00 m²;1;280;None;215000;
62;2;2;Apartamento para Venda, Teresina / PI, bairro São Cristóvão, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 62,00 m²;1;360;None;250000;
None;None;None;Apartamento para Venda, Teresina / PI, bairro GURUPI;None;200;None;210000;
115;3;2;Apartamento para Venda, Teresina / PI, bairro Aeroporto, 3 dormitórios, 1 suíte, 2 banheiros, área total 115,00 m²;None;None;None;260000;
50;2;1;Apartamento para Venda, bairro Parque Ideal, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 50,00 m²;1;80;None;110000;
67;3;2;Apartamento para Venda, Teresina / PI, bairro Campestre, 3 dormitórios, 2 suítes, 2 banheiros, 1 vaga de garagem, área total 67,00 m², área útil 67,00 m²;1;350;None;215000;
None;2;1;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 2 dormitórios, 1 banheiro;None;110;None;110000;
55;2;None;Apartamento para Venda, Teresina / PI, bairro Uruguai, 2 dormitórios, 1 vaga de garagem, área total 55,00 m²;1;None;None;220000;
41;2;1;Apartamento para Venda, Teresina / PI, bairro Tancredo Neves, 2 dormitórios, 1 banheiro, 2 vagas de garagem, área total 41,00 m², área construída 41,00 m², área útil 41,00 m²;2;75;None;115000;
73;3;2;Apartamento para Venda, Teresina / PI, bairro Aeroporto, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 73,00 m²;1;320;None;220000;
46;2;1;Apartamento para Venda, Teresina / PI, bairro Vale do Gavião, 2 dormitórios, 1 banheiro, área total 46,19 m²;None;500;None;125000;
115;3;2;Apartamento para Venda, Teresina / PI, bairro Aeroporto, 3 dormitórios, 1 suíte, 2 banheiros, área total 115,00 m²;None;None;None;220000;
50;2;1;Apartamento para Venda, Teresina / PI, bairro Vale do Gavião, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 50,00 m²;1;138;None;130000;
70;3;1;Apartamento para Venda, bairro Cristo Rei, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 70,00 m²;1;None;None;230000;
44;2;1;Apartamento para Venda, Teresina / PI, bairro Aeroporto, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 44,00 m²;1;198;None;130000;
77;2;2;Apartamento para Venda, Teresina / PI, bairro Piçarreira, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 77,00 m²;1;250;None;235000;
46;2;1;Apartamento para Venda, Teresina / PI, bairro Louviral Parente, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 46,74 m², área útil 46,74 m²;1;None;None;130000;
None;3;2;Apartamento para Venda, Teresina / PI, bairro Vila Operária, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem;1;None;None;240000;
58;3;1;Apartamento para Venda, Teresina / PI, bairro Macaúba, 3 dormitórios, 1 banheiro, 1 vaga de garagem, área total 58,00 m²;1;200;None;130000;
92;2;2;Apartamento para Venda, Teresina / PI, bairro Morada do Sol, 2 dormitórios, 1 suíte, 2 banheiros, área total 92,34 m²;None;244;None;550000;
None;None;None;Apartamento para Venda, Teresina / PI, bairro Colorado;None;175;None;130000;
192;3;None;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 2 suítes, 2 vagas de garagem, área total 192,00 m²;2;None;None;550000;
62;2;1;Apartamento para Venda, Timon / MA, bairro Mateuzinho, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 62,00 m²;1;None;None;130000;
100;3;3;Apartamento para Venda, Teresina / PI, bairro Horto, 3 dormitórios, 3 banheiros, 3 vagas de garagem, área total 100,00 m²;3;350;None;570000;
50;2;1;Apartamento para Venda, Teresina / PI, bairro Angelim, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 50,24 m², área útil 50,24 m²;1;None;None;137000;
60;3;2;Apartamento para Venda, Teresina / PI, bairro Recanto das Palmeiras, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 60,00 m², área construída 60,00 m², área útil 60,00 m²;1;None;None;295000;
126;3;2;Apartamento para Venda, Teresina / PI, bairro Centro, 3 dormitórios, 3 suítes, 2 banheiros, 2 vagas de garagem, área total 126,00 m²;2;None;None;650000;
60;3;2;Apartamento para Venda, Teresina / PI, bairro Tancredo Neves, 3 dormitórios, 1 suíte, 2 banheiros, área total 60,00 m²;None;None;None;140000;
50;2;1;Apartamento para Venda, Teresina / PI, bairro Pedra Mole, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 50,81 m², área construída 50,81 m², área útil 50,81 m²;1;230;None;140000;
126;3;2;Apartamento para Venda, Teresina / PI, bairro ILHOTAS, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 126,00 m², área útil 126,00 m²;2;None;None;650000;
66;3;1;Apartamento para Venda, bairro ILHOTAS, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 66 m²;1;None;None;300000;
140;2;2;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 2 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 140,00 m²;2;None;None;730000;
286;3;4;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas de garagem, mobiliado, área total 286,00 m², área construída 286,00 m², área útil 286,00 m²;2;None;None;1275000;
200;4;5;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 4 dormitórios, 5 banheiros, área total 200,00 m²;None;None;None;1300000;
165;3;3;Apartamento para Venda, bairro ILHOTAS, 3 dormitórios, 2 suítes, 3 banheiros, mobiliado, área total 165,00 m², área útil 165,00 m²;None;None;None;850000;
179;4;None;Apartamento para Venda, bairro JOQUEI, 4 dormitórios, 4 suítes, área total 179,00 m²;None;None;None;1350000;
176;3;1;Apartamento para Venda, bairro JOQUEI, 3 dormitórios, 3 suítes, 1 banheiro, 2 vagas de garagem, área total 176,00 m²;2;None;None;950000;
None;3;None;Apartamento para Venda, bairro Fátima, 3 dormitórios, 1 suíte;None;None;None;1400000;
140;3;1;Apartamento para Venda, bairro JOQUEI, 3 dormitórios, 1 banheiro, 1 vaga de garagem, área total 140,00 m²;1;None;None;1000000;
75;3;3;Apartamento para Venda, Rio de Janeiro / RJ, bairro Jardim Botânico, 3 dormitórios, 1 suíte, 3 banheiros, 1 vaga de garagem, área útil 75,74 m²;1;890;None;1510000;
176;3;4;Apartamento para Venda, Teresina / PI, bairro Fátima, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas de garagem, área total 176,25 m²;2;None;None;1040000;
275;4;5;Apartamento para Venda, Teresina / PI, bairro ILHOTAS, 4 dormitórios, 4 suítes, 5 banheiros, 5 vagas de garagem, mobiliado, área total 275,00 m², área útil 275,00 m²;5;2000;None;1700000;
186;4;5;Apartamento para Venda, Teresina / PI, bairro ILHOTAS, 4 dormitórios, 3 suítes, 5 banheiros, 2 vagas de garagem, área total 186,00 m², área útil 186,00 m²;2;1500;None;1100000;
225;4;5;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 4 dormitórios, 4 suítes, 5 banheiros, 4 vagas de garagem, área total 225,13 m², área útil 225,13 m²;4;None;None;1790000;
